| distrType         | samp1 | samp2 |  es | variance | mean(Method1) | mean(Method2) | pVal(Method1, Method2) | typeI | pVal(Method1, Method2)Uncorrected |   sig | sigUncorrected |
| normalGamma       |    15 |    10 | 0,5 |        1 |         0,091 |         0,144 |    1,5331551651909e-21 | FALSE |              5,32345543469064e-24 |  TRUE |          FALSE |
| normal            |    30 |    10 | 0,5 |        1 |         0,210 |         0,257 |   1,00079721971018e-18 | FALSE |               3,4749903462159e-21 |  TRUE |          FALSE |
| normalSkewed      |    30 |    10 | 0,5 |        1 |         0,186 |         0,240 |   2,11367457127558e-22 | FALSE |              7,33914781692911e-25 |  TRUE |          FALSE |
| normalPlatykurtic |    30 |    10 | 0,5 |        1 |         0,200 |         0,247 |   1,65699808382991e-18 | FALSE |              5,75346556885385e-21 |  TRUE |          FALSE |
| normalGamma       |    30 |    10 | 0,5 |        1 |         0,091 |         0,133 |   6,16912913748915e-17 | FALSE |              2,14205872829484e-19 |  TRUE |          FALSE |
| normal            |    10 |    15 | 0,5 |        1 |         0,157 |         0,205 |   1,47862874508853e-18 | FALSE |              5,13412758711295e-21 |  TRUE |          FALSE |
| normalSkewed      |    10 |    15 | 0,5 |        1 |         0,149 |         0,202 |   9,60597928090511e-22 | FALSE |               3,3354094725365e-24 |  TRUE |          FALSE |
| normalPlatykurtic |    10 |    15 | 0,5 |        1 |         0,148 |         0,202 |   2,11367457127558e-22 | FALSE |              7,33914781692911e-25 |  TRUE |          FALSE |
| normalGamma       |    10 |    15 | 0,5 |        1 |         0,129 |         0,206 |   1,81885995248607e-32 | FALSE |               6,3154859461322e-35 |  TRUE |          FALSE |
| normal            |    15 |    15 | 0,5 |        1 |         0,207 |         0,244 |    2,8901534803816e-13 | FALSE |              1,00352551402139e-15 |  TRUE |          FALSE |
| normalSkewed      |    15 |    15 | 0,5 |        1 |         0,202 |         0,249 |   2,74354970105662e-18 | FALSE |              9,52621423977991e-21 |  TRUE |          FALSE |
| normalPlatykurtic |    15 |    15 | 0,5 |        1 |         0,218 |         0,261 |   3,72164920873474e-17 | FALSE |              1,29223930858845e-19 |  TRUE |          FALSE |
| normalGamma       |    15 |    15 | 0,5 |        1 |         0,155 |         0,225 |   5,56594703178725e-29 | FALSE |              1,93262049714835e-31 |  TRUE |          FALSE |
| normal            |    30 |    15 | 0,5 |        1 |         0,291 |         0,332 |   1,69683648587284e-15 | FALSE |              5,89179335372514e-18 |  TRUE |          FALSE |
| normalSkewed      |    30 |    15 | 0,5 |        1 |         0,276 |         0,319 |   7,20746145825489e-16 | FALSE |              2,50259078411628e-18 |  TRUE |          FALSE |
| normalPlatykurtic |    30 |    15 | 0,5 |        1 |         0,284 |         0,326 |   4,90565200188156e-14 | FALSE |              1,70335138954221e-16 |  TRUE |          FALSE |
| normalGamma       |    30 |    15 | 0,5 |        1 |         0,173 |         0,232 |   2,25673932089482e-24 | FALSE |              7,83590041977366e-27 |  TRUE |          FALSE |
| normal            |    10 |    30 | 0,5 |        1 |         0,209 |         0,253 |    5,6569727249737e-17 | FALSE |              1,96422664061587e-19 |  TRUE |          FALSE |
| normalSkewed      |    10 |    30 | 0,5 |        1 |         0,188 |         0,250 |   6,84655185747361e-25 | FALSE |              2,37727495051167e-27 |  TRUE |          FALSE |
| normalPlatykurtic |    10 |    30 | 0,5 |        1 |         0,192 |         0,238 |   1,79601528087442e-18 | FALSE |              6,23616416970285e-21 |  TRUE |          FALSE |
| normalGamma       |    10 |    30 | 0,5 |        1 |         0,217 |         0,335 |   1,62936386979625e-49 | FALSE |              5,65751343679254e-52 |  TRUE |          FALSE |
| normal            |    15 |    30 | 0,5 |        1 |         0,295 |         0,332 |    2,8901534803816e-13 | FALSE |              1,00352551402139e-15 |  TRUE |          FALSE |
| normalSkewed      |    15 |    30 | 0,5 |        1 |         0,264 |         0,305 |   1,15078557790945e-14 | FALSE |              3,99578325663002e-17 |  TRUE |          FALSE |
| normalPlatykurtic |    15 |    30 | 0,5 |        1 |         0,287 |         0,327 |   3,20543863292404e-15 | FALSE |              1,11299952532085e-17 |  TRUE |          FALSE |
| normalGamma       |    15 |    30 | 0,5 |        1 |         0,267 |         0,374 |   3,87407310792185e-45 | FALSE |              1,34516427358398e-47 |  TRUE |          FALSE |
| normal            |    30 |    30 | 0,5 |        1 |         0,460 |         0,474 |      0,488756304745477 | FALSE |               0,00169707050258846 |  TRUE |          FALSE |
| normalSkewed      |    30 |    30 | 0,5 |        1 |         0,460 |         0,487 |   1,35635368609567e-06 | FALSE |               4,7095614100544e-09 |  TRUE |          FALSE |
| normalPlatykurtic |    30 |    30 | 0,5 |        1 |         0,422 |         0,450 |   2,61006992376019e-08 | FALSE |              9,06274279083398e-11 |  TRUE |          FALSE |
| normalGamma       |    30 |    30 | 0,5 |        1 |         0,365 |         0,464 |   1,19904357406238e-41 | FALSE |              4,16334574327215e-44 |  TRUE |          FALSE |
| normal            |    10 |    10 | 0,8 |        1 |         0,280 |         0,386 |   7,19998737009849e-44 | FALSE |              2,49999561461753e-46 |  TRUE |          FALSE |
| normalSkewed      |    10 |    10 | 0,8 |        1 |         0,272 |         0,373 |   1,60713344999228e-42 | FALSE |              5,58032447913987e-45 |  TRUE |          FALSE |
| normalPlatykurtic |    10 |    10 | 0,8 |        1 |         0,297 |         0,393 |   9,13243655800876e-41 | FALSE |              3,17098491597526e-43 |  TRUE |          FALSE |
| normalGamma       |    10 |    10 | 0,8 |        1 |         0,240 |         0,374 |   2,42825753433118e-57 | FALSE |              8,43144977198328e-60 |  TRUE |          FALSE |
| normal            |    15 |    10 | 0,8 |        1 |         0,370 |         0,447 |   4,85000369975944e-32 | FALSE |              1,68402906241647e-34 |  TRUE |          FALSE |
| normalSkewed      |    15 |    10 | 0,8 |        1 |         0,355 |         0,443 |   1,98712106666949e-36 | FALSE |              6,89972592593572e-39 |  TRUE |          FALSE |
| normalPlatykurtic |    15 |    10 | 0,8 |        1 |         0,381 |         0,463 |   1,27622677391773e-33 | FALSE |              4,43134296499212e-36 |  TRUE |          FALSE |
| normalGamma       |    15 |    10 | 0,8 |        1 |         0,286 |         0,391 |   6,52226379478219e-45 | FALSE |              2,26467492874382e-47 |  TRUE |          FALSE |
| normal            |    30 |    10 | 0,8 |        1 |         0,471 |         0,553 |   1,36719650750146e-33 | FALSE |              4,74721009549119e-36 |  TRUE |          FALSE |
| normalSkewed      |    30 |    10 | 0,8 |        1 |         0,442 |         0,527 |   4,05290994166284e-35 | FALSE |              1,40726039641071e-37 |  TRUE |          FALSE |
| normalPlatykurtic |    30 |    10 | 0,8 |        1 |         0,440 |         0,520 |   8,88521158226604e-34 | FALSE |              3,08514291050904e-36 |  TRUE |          FALSE |
| normalGamma       |    30 |    10 | 0,8 |        1 |         0,305 |         0,406 |    9,9166212846401e-43 | FALSE |              3,44327127938892e-45 |  TRUE |          FALSE |
| normal            |    10 |    15 | 0,8 |        1 |         0,360 |         0,441 |   1,43376268683044e-33 | FALSE |              4,97834266260568e-36 |  TRUE |          FALSE |
| normalSkewed      |    10 |    15 | 0,8 |        1 |         0,360 |         0,457 |   1,47887078135757e-40 | FALSE |               5,1349679908249e-43 |  TRUE |          FALSE |
| normalPlatykurtic |    10 |    15 | 0,8 |        1 |         0,369 |         0,448 |   3,92076021453426e-33 | FALSE |              1,36137507449106e-35 |  TRUE |          FALSE |
| normalGamma       |    10 |    15 | 0,8 |        1 |         0,377 |         0,494 |   1,01946488783332e-49 | FALSE |              3,53980863831015e-52 |  TRUE |          FALSE |
| normal            |    15 |    15 | 0,8 |        1 |         0,508 |         0,558 |   6,77472526578201e-18 | FALSE |              2,35233516172986e-20 |  TRUE |          FALSE |
| normalSkewed      |    15 |    15 | 0,8 |        1 |         0,504 |         0,570 |   2,02868730823226e-26 | FALSE |              7,04405315358423e-29 |  TRUE |          FALSE |
| normalPlatykurtic |    15 |    15 | 0,8 |        1 |         0,486 |         0,553 |   1,14146301404525e-27 | FALSE |              3,96341324321266e-30 |  TRUE |          FALSE |
| normalGamma       |    15 |    15 | 0,8 |        1 |         0,458 |         0,567 |   8,58617056589462e-46 | FALSE |              2,98130922426896e-48 |  TRUE |          FALSE |
| normal            |    30 |    15 | 0,8 |        1 |         0,660 |         0,704 |   4,17666178442286e-15 | FALSE |              1,45022978625794e-17 |  TRUE |          FALSE |
| normalSkewed      |    30 |    15 | 0,8 |        1 |         0,636 |         0,688 |   2,64201611601556e-20 | FALSE |              9,17366706949847e-23 |  TRUE |          FALSE |
| normalPlatykurtic |    30 |    15 | 0,8 |        1 |         0,632 |         0,683 |   1,77439154011794e-20 | FALSE |              6,16108173652062e-23 |  TRUE |          FALSE |
| normalGamma       |    30 |    15 | 0,8 |        1 |         0,520 |         0,607 |   1,25616719694636e-36 | FALSE |              4,36169165606376e-39 |  TRUE |          FALSE |
| normal            |    10 |    30 | 0,8 |        1 |         0,469 |         0,537 |   4,16977191991825e-28 | FALSE |              1,44783747219384e-30 |  TRUE |          FALSE |
| normalSkewed      |    10 |    30 | 0,8 |        1 |         0,474 |         0,553 |   1,68845910028512e-32 | FALSE |              5,86270520932333e-35 |  TRUE |          FALSE |
